License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17161,"Schuyler Rd., 100-102",100 Schuyler Rd,Silver Spring,20901,160585,-77.0117742,39.00324794,2/25/20,,3,1,26,25,1.68,2.11,3,0.12,0,at-risk,"(39.0032, -77.0118)"
94216,Lakeview House,10250 WESTLAKE DR,BETHESDA,20817,165392,0,0,6/17/21,,,0,152,0,0,0,0,0,0,TBD,"(0.0, 0.0)"
17483,"Garland Avenue, 8101",8101 Garland Ave,Takoma Park,20912,171016,-76.998948,38.99059634,2/9/22,,3,1,5,6,2,1.27,2,0,0,compliant,"(38.9906, -76.9989)"
17631,Yorkshire I,11401 July Dr,Silver Spring,20904,154261,-76.98171871,39.04160138,4/24/19,,3,0,228,79,0.44,0.82,51,0,0,compliant,"(39.0416, -76.9817)"
96607,910 KENNEBEC AVE,910 Kennebec Ave,Takoma Park,20912,158814,-76.99942298,38.99061006,10/24/19,,1,0,3,3,0,0,3,0,0,compliant,"(38.9906, -76.9994)"
17162,Hermitage Square,3213 Hewitt Ave,Silver Spring,20906,159927,-77.0643646,39.0798188,2/18/20,,3,1,131,37,2.51,1.5,9,0.02,0,at-risk,"(39.0798, -77.0644)"
17985,"Garland Avenue, 8311",8311 Garland Ave,Takoma Park,20912,154052,-77.00010199,38.99386645,5/1/19,,2,0,6,7,2.14,1.47,2,0.14,0,at-risk,"(38.9939, -77.0001)"
18216,"Houston Avenue, 811",811 Houston Ave,Takoma Park,20912,171927,-77.00059455,38.99110428,4/7/21,,2,1,4,3,2.66,2.12,0,0,0,troubled,"(38.9911, -77.0006)"
17766,"Greenwood Avenue, 8500",8500 Greenwood Ave,Takoma Park,20912,157669,-77.00174516,38.99505537,9/17/19,,1,0,5,7,1.14,1.25,2,0,0,compliant,"(38.9951, -77.0017)"
17291,Garland Towers,8221 Garland Ave,Takoma Park,20912,170994,-76.99966925,38.9927215,3/7/22,,3,1,25,6,0.16,0.16,5,0,0,compliant,"(38.9927, -76.9997)"
17156,Greenwood Terrace,8502 Greenwood Ave,Takoma Park,20912,160577,-77.00189292,38.99541504,11/19/20,,3,1,47,0,0,0,0,0,0,TBD,"(38.9954, -77.0019)"
17276,Halpine View,13013 Crookston Ln,Rockville,20851,171044,-77.11128588,39.06867449,3/24/22,,3,1,562,158,1.15,1.17,68,0.02,0,compliant,"(39.0687, -77.1113)"
17519,Waverly House,4521 East West Hwy,Bethesda,20814,170970,-77.09222825,38.985431,4/19/22,,3,1,157,31,0.03,0.06,30,0,0,compliant,"(38.9854, -77.0922)"
18227,"Holstein Street, 7902",7902 Holstein St,Takoma Park,20912,157694,-76.99925761,38.98856176,8/27/19,,1,0,2,1,2,1.5,0,0,0,compliant,"(38.9886, -76.9993)"
17744,"Greenwood Avenue, 8220",8220 Greenwood Ave,Takoma Park,20912,157679,-77.00116101,38.99244143,8/28/19,,1,0,5,7,1.14,0.35,5,0,0,compliant,"(38.9924, -77.0012)"
17456,"Thayer Avenue, 809",809 Thayer Ave,Silver Spring,20910,169453,-77.02286961,38.99336728,10/14/21,,1,0,3,4,1,1,0,0,0,compliant,"(38.9934, -77.0229)"
45287,Avalon At Grosvenor Station,10306 Strathmore Hall St,Rockville,20852,165265,-77.10166237,39.02582996,7/28/22,,3,1,497,111,0.72,0.86,66,0,0,compliant,"(39.0258, -77.1017)"
17386,"Quebec Terrace, 1005-07-09",1005 Quebec Ter,Silver Spring,20903,169450,-76.98912357,38.99983514,10/5/21,,1,0,12,12,1.16,1,6,0.08,0,compliant,"(38.9998, -76.9891)"
17260,Aspen Hill Apartments,13515 Georgia Ave,Silver Spring,20906,164995,-77.07014321,39.07942551,8/11/21,,3,1,202,60,1.25,1.72,11,0.01,0,at-risk,"(39.0794, -77.0701)"
